game,2023-07-07 14:00:00,2023-07-07 19:00:00,2023-07-07 21:00:00,2023-07-08 08:00:00,2023-07-08 10:00:00,2023-07-08 12:00:00,2023-07-14 14:00:00,2023-07-15 13:00:00,2023-07-16 09:00:00,2023-07-16 12:00:00,2023-07-16 21:00:00,2023-07-21 12:00:00,2023-07-21 15:00:00,2023-07-21 18:00:00,2023-07-21 21:00:00,2023-07-22 09:00:00,2023-07-22 12:00:00,2023-07-22 15:00:00,2023-07-22 21:00:00,2023-07-23 12:00:00,2023-07-23 15:00:00,2023-07-23 18:00:00,2023-07-23 21:00:00,2023-07-24 09:00:00,2023-07-24 12:00:00,2023-07-24 15:00:00,2023-07-24 18:00:00,2023-07-24 21:00:00
Escape from Tarkov,16848.0,21789.0,18918.0,8489.0,8457.0,8411.0,12933.0,10988.0,9349.0,13512.0,19475.0,11994.0,16520.0,17875.0,19769.0,12090.0,13470.0,14218.0,17380.0,12912.0,17979.0,17460.0,20139.0,7581.0,12302.0,20187.0,20597.0,25177.0
PUBG: BATTLEGROUNDS,15001.0,13082.0,21699.0,4816.0,5691.0,10841.0,10063.0,7300.0,4461.0,7883.0,17472.0,12091.0,12644.0,10040.0,10077.0,4153.0,5619.0,7652.0,12495.0,11330.0,6746.0,11594.0,13516.0,4023.0,7012.0,8156.0,12587.0,14349.0
Rust,15690.0,20996.0,55811.0,16065.0,15509.0,15767.0,9647.0,10773.0,6703.0,10437.0,27302.0,23660.0,24008.0,29895.0,33834.0,9887.0,7933.0,12954.0,20507.0,8119.0,8692.0,18486.0,13119.0,11603.0,6801.0,9323.0,14331.0,18721.0
Hearthstone,16594.0,24933.0,19588.0,11211.0,13441.0,13870.0,25264.0,16303.0,12661.0,17507.0,19311.0,12077.0,18056.0,12555.0,14485.0,9194.0,9751.0,9862.0,10624.0,12868.0,10098.0,14788.0,23652.0,8035.0,9658.0,11599.0,23560.0,16144.0
New World,14681.0,20375.0,17326.0,8234.0,9802.0,11632.0,5385.0,21255.0,,4227.0,8506.0,,,,,,,,,,5435.0,,,,,,,
BattleBit Remastered,12297.0,16898.0,19730.0,10743.0,11865.0,9886.0,16130.0,9995.0,12994.0,8153.0,13897.0,7573.0,9144.0,13451.0,15890.0,8172.0,6361.0,10387.0,10896.0,6722.0,6330.0,8334.0,12466.0,5060.0,5873.0,5519.0,6957.0,9628.0
Overwatch 2,12177.0,17584.0,22743.0,16767.0,19407.0,16734.0,18127.0,22956.0,23436.0,19800.0,24385.0,17169.0,15461.0,20252.0,19182.0,19454.0,18417.0,12890.0,25380.0,11796.0,15651.0,16840.0,18417.0,14780.0,12673.0,15538.0,23637.0,19716.0
Sea of Thieves,11429.0,13555.0,16592.0,,,4666.0,,,,,,3425.0,4206.0,14104.0,12600.0,,,,6631.0,,,,,,,,5598.0,15861.0
Albion Online,9101.0,9559.0,8598.0,6174.0,6528.0,6158.0,9005.0,6378.0,6013.0,5262.0,,8552.0,10422.0,12269.0,9928.0,6561.0,7448.0,9707.0,8722.0,6860.0,7441.0,8895.0,8512.0,5080.0,5008.0,10744.0,13097.0,13196.0
The Callisto Protocol,9046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
